facebook.com,66.220.149.11
youtube.com,74.125.81.91
yahoo.com,98.137.149.56
live.com,65.55.206.154
wikipedia.org,208.80.152.201
msn.com,65.55.206.203
baidu.com,220.181.111.86
blogspot.com,74.125.81.191
microsoft.com,207.46.232.182
qq.com,125.39.127.22
taobao.com,121.14.24.241
bing.com,65.55.175.254
sina.com.cn,202.108.33.60
soso.com,61.135.167.27
163.com,220.181.8.191
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.148.10
mozilla.com,63.245.209.106
youku.com,220.181.52.21
sdfasdsfjh.com,
wmfo.org,69.163.231.52
andysayler.com,173.236.234.195
